Non functional Log
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:09The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:38The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:44:18The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:45:37The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:19Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:37Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:19 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:46 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:24:18 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Date/Time( 15-Jun-2022 13:31:57 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:13 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:19 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:35 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:36 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:36 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:36 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:36 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:36 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:37 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:37 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:37 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:37 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
